True_value,Prediction
[893.3983],[951.45337]
[970.63934],[1021.5552]
[1201.6067],[1221.1309]
[728.34735],[752.8848]
[1128.933],[1143.9783]
[1207.4923],[1184.5651]
[976.70135],[943.7118]
[921.37134],[944.1343]
[839.47064],[805.45447]
[1310.314],[1361.7639]
[790.596],[806.1325]
[1208.5264],[1164.5334]
[940.22766],[928.96216]
[988.5727],[997.08624]
[1011.3383],[1016.3556]
[1177.0046],[1175.3129]
[1091.8517],[1091.592]
[686.777],[658.9947]
[828.329],[808.2575]
[1172.5663],[1250.1157]
[768.275],[792.0969]
[1285.7806],[1544.5083]
[1102.382],[1126.3105]
[1083.3696],[1097.3036]
[957.16833],[973.94666]
[701.995],[682.2694]
[1027.9387],[1010.6526]
[836.163],[858.0377]
[925.0053],[956.3794]
[764.12],[752.1382]
[1283.669],[1307.2206]
[1196.0156],[1151.9913]
[912.066],[1034.9613]
[853.11334],[852.7255]
[1207.3007],[1211.0398]
[987.3757],[971.8728]
[1227.81],[1248.1387]
[799.60034],[833.7978]
[670.975],[630.65497]
[1345.5994],[1331.3533]
[910.82434],[901.90356]
[1502.7024],[1552.1753]
[694.46765],[668.40454]
[801.62067],[802.11914]
[1265.049],[1342.9908]
[1085.365],[1105.4308]
[792.29236],[768.74475]
[845.08],[848.6687]
[1505.3817],[1553.109]
[1048.965],[1026.0348]
[1054.4366],[1039.3011]
[791.31964],[824.0365]
[736.6507],[752.9838]
[1114.3453],[1139.7427]
[929.03467],[976.62085]
[1178.5543],[1130.5775]
[738.6517],[708.1271]
[1069.3763],[1091.4625]
[1215.8546],[1207.463]
[1199.929],[1205.5519]
[1211.264],[1161.3506]
[818.80133],[820.06464]
[1140.2803],[1087.342]
[905.6693],[877.5199]
[1124.9883],[1163.3019]
[1277.134],[1342.5024]
[1054.6884],[1075.9448]
[1296.8417],[1302.2438]
[968.1507],[967.2291]
[1347.6473],[1338.8619]
[859.96564],[847.6609]
[1474.432],[1452.7753]
[1161.3627],[1142.9823]
[764.52167],[760.8405]
[871.79767],[880.6443]
[711.3497],[688.1073]
[1316.9387],[1457.88]
[873.841],[884.61206]
[715.0233],[673.0862]
[816.5233],[829.0645]
[932.283],[956.32007]
[963.16034],[910.6815]
[825.89166],[845.9968]
[1321.888],[1364.6288]
[1106.2887],[1048.1217]
[963.6],[1002.0149]
[685.776],[675.38354]
[812.708],[792.54333]
[1049.2527],[1041.0157]
[1294.1333],[1248.9076]
[1020.85864],[1023.3295]
[1851.4387],[1553.4208]
[924.75165],[918.4539]
[925.64667],[1014.4894]
[1153.9807],[1114.2059]
[939.589],[944.5676]
[980.82733],[992.4161]
[791.1323],[811.74457]
[1270.046],[1298.0135]
[983.25165],[999.2949]
[1335.9517],[1229.7744]
[1105.1034],[1125.4792]
[814.104],[820.84985]
[1107.481],[1081.515]
[1230.8717],[1304.8593]
[971.0703],[976.1512]
[1356.602],[1373.6313]
[861.948],[776.50977]
[1140.3777],[1160.0177]
[908.172],[1007.28455]
[885.044],[849.998]
[1185.693],[1184.9579]
[818.4373],[822.544]
[1106.132],[1172.229]
[795.66534],[818.7747]
[1084.7007],[1180.6178]
[1014.5993],[1043.9949]
[923.8233],[961.46906]
[946.96735],[966.2335]
[678.46735],[634.55115]
[921.73334],[915.33093]
[996.448],[1027.1151]
[834.542],[845.9448]
[1045.358],[1024.9838]
[878.869],[966.3799]
[620.10065],[627.1099]
[766.72],[767.7106]
[870.843],[936.6866]
[725.2603],[786.6959]
[1248.0017],[1316.515]
[862.4067],[918.5155]
[691.68835],[648.2843]
[943.9947],[891.42426]
[715.03],[731.2312]
[987.797],[1011.2834]
[921.3987],[892.70667]
[811.8253],[763.2471]
[1018.969],[1075.3212]
[839.854],[810.2897]
[1188.64],[1166.6624]
[1005.76764],[996.539]
[1033.84],[1042.8827]
[1334.8167],[1275.0336]
[845.62665],[854.5949]
[812.834],[828.0036]
[1050.538],[996.02405]
[984.404],[965.6399]
[896.885],[959.4773]
[1201.3087],[1240.6412]
[851.252],[869.9969]
[893.3823],[909.68494]
[895.69366],[943.0271]
[1002.165],[971.6188]
[1019.7053],[1036.9635]
[1352.043],[1331.5056]
[1328.21],[1381.6329]
[926.895],[931.43744]
[761.10034],[734.30255]
[1321.4387],[1380.851]
[689.387],[642.5168]
[987.13965],[989.82544]
[955.104],[956.82587]
[1197.949],[1268.0853]
[995.919],[1014.43616]
[794.75665],[826.9661]
[633.64],[646.97107]
[1138.312],[1188.5192]
[835.8223],[852.1181]
[1244.688],[1189.0159]
[1321.6404],[1336.2324]
[845.64136],[880.3397]
[784.82965],[819.2301]
[774.63336],[767.21326]
[1004.894],[1006.52747]
[693.403],[697.6133]
[1065.947],[1055.1826]
[877.53064],[973.7832]
[931.7763],[992.76666]
[892.358],[890.7958]
[1254.167],[1194.8112]
[924.6773],[962.7318]
[794.545],[778.6249]
[1257.859],[1210.4999]
[1279.432],[1330.67]
[1175.7837],[1175.5707]
[932.13635],[927.13635]
[1186.045],[1211.2734]
[1375.2697],[1416.5424]
[1286.8773],[1415.8033]
[1226.659],[1232.4401]
[1072.7386],[1010.4409]
[1473.9047],[1460.3722]
[632.8643],[636.77216]
[1057.6863],[1111.036]
[1122.187],[1133.1774]
[823.853],[836.8389]
[902.31665],[872.82117]
[1182.6893],[1140.8419]
[661.42],[649.5448]
[709.816],[679.18665]
[1039.384],[1073.2125]
[1180.649],[1282.6493]
[800.45264],[801.6819]
[790.588],[832.204]
[1180.212],[1200.3445]
[1140.638],[1146.0278]
[955.91034],[954.93475]
[998.38135],[1020.38763]
[990.2993],[1041.4674]
[1077.3043],[1094.0743]
[1059.227],[1042.403]
[888.816],[913.64996]
[794.5267],[828.73975]
[1307.481],[1222.2374]
[809.4037],[786.2173]
[1365.258],[1306.3485]
[784.57465],[784.217]
[1215.0374],[1289.797]
[679.744],[667.04675]
[1385.5634],[1387.0474]
[965.1043],[944.10516]
[829.14136],[810.97284]
[845.18634],[819.4643]
[976.3173],[1001.9949]
[881.1173],[866.86096]
[1249.48],[1184.3077]
[1171.2344],[1150.5571]
[710.30664],[691.5828]
[731.5133],[688.3098]
[1482.6007],[1541.9141]
[834.924],[956.0388]
[823.666],[813.60767]
[930.7507],[978.31024]
[896.707],[929.3583]
[1459.395],[1519.0319]
[1032.2473],[992.9316]
[877.20264],[948.89813]
[1298.8107],[1363.5925]
[1343.0797],[1320.9724]
[1153.4823],[1091.0402]
[1064.7043],[1055.5144]
[1346.8906],[1357.9246]
[1076.12],[1091.55]
[1217.1907],[1210.8003]
[1312.8617],[1307.5126]
[1300.6427],[1431.9678]
[964.09064],[985.76526]
[1058.0986],[1109.722]
[1063.3923],[1147.621]
[1821.0347],[1553.8597]
[827.98865],[855.43304]
[705.07635],[728.1354]
[845.51666],[865.2537]
[926.852],[896.1549]
