group,Date,KWH,Next_3_Days_Energy_Total,sunshine,global_radiation,max_temp,mean_temp,min_temp,pressure,cloud_cover_0.0,cloud_cover_1.0,cloud_cover_2.0,cloud_cover_3.0,cloud_cover_4.0,cloud_cover_5.0,cloud_cover_6.0,cloud_cover_7.0,cloud_cover_8.0,precipitation_0,precipitation_1,precipitation_2,precipitation_3,precipitation_4,snow_depth_0.0,snow_depth_1.0,Predictions
14,2013-09-06,701.079,734.7083333333335,168.0,114.0,19.5,16.2,14.2,100860.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[735.3142]
47,2013-03-26,1164.728,1089.0873333333334,0.0,50.0,4.8,1.5,0.5,101360.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1130.8739]
19,2013-11-15,1117.185,1167.3270000000002,384.0,66.0,10.0,6.7,3.4,103290.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[1142.4436]
27,2012-12-28,1210.194,1249.687,0.0,12.0,11.7,9.0,5.3,101660.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1291.6102]
42,2013-01-04,1096.216,1248.3953333333332,0.0,13.0,10.9,9.7,9.1,103740.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1165.547]
40,2013-01-16,1362.148,1428.2396666666666,78.0,28.0,2.6,-1.2,-2.6,101340.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1468.1001]
49,2013-11-23,1090.454,1093.338,324.0,55.0,8.2,5.2,2.3,102440.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,[1082.7015]
49,2013-02-11,1363.244,1302.4443333333336,0.0,23.0,2.3,1.2,0.4,99930.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,[1320.0411]
6,2013-11-28,1076.033,1178.8143333333337,0.0,15.0,10.4,8.8,7.2,103470.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1163.3324]
24,2013-06-03,719.39,696.2656666666666,792.0,318.0,21.2,14.0,8.7,103140.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[727.5619]
35,2013-08-12,806.883,791.9976666666668,258.0,168.0,21.5,18.2,13.6,101710.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[832.21826]
7,2013-12-05,1090.108,1053.2493333333334,24.0,18.0,8.8,5.1,-0.5,102400.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,[1100.6366]
40,2013-12-07,1224.428,1147.5556666666669,0.0,13.0,12.0,6.2,3.0,102670.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,[1137.266]
53,2013-09-12,732.077,910.5046666666668,48.0,74.0,19.6,16.5,12.5,101930.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,[843.7495]
12,2012-10-21,998.906,903.4816666666668,0.0,27.0,14.9,11.5,9.3,101810.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[943.4548]
31,2013-11-25,778.616,782.7133333333333,66.0,28.0,8.2,5.8,4.0,103780.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,[809.9933]
16,2013-06-06,797.273,885.0280000000001,798.0,320.0,20.6,15.7,8.5,102160.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,[873.2865]
